AirportCode,Name,StateCode
10307,"Annette, AK: Annette Island",AK
10313,"Anvik, AK: Anvik Airport",AK
10324,"Amook Bay, AK: Amook Bay Airport",AK
10344,"Girdwood, AK: Girdwood Airport",AK
10349,"Arctic Village, AK: Arctic Village Airport",AK
10396,"Atqasuk, AK: Atqasuk Edward Burnell Sr. Memorial",AK
10405,"Atmautluak, AK: Atmautluak Airport",AK
10406,"Attu, AK: Casco Cove CGS",AK
10416,"Alakanuk, AK: Alakanuk Airport",AK
10487,"Baker Island, AK: Baker AAF",AK
10509,"Bear Creek, AK: Bear Creek Airport",AK
10551,"Bethel, AK: Bethel Airport",AK
10556,"Blue Fox Bay, AK: Blue Fox Bay Airport",AK
10580,"Big Lake, AK: Big Lake Airport",AK
10612,"Big Creek, AK: Big Creek Airport",AK
10616,"Big Delta, AK: Allen AAF",AK
10640,"Buckland, AK: Buckland Airport",AK
10642,"Brooks Lake, AK: Brooks Lake Airport",AK
10692,"Big Mountain, AK: Big Mountain AFS",AK
10697,"Baranof, AK: Warm Spring Bay Seaplane Base",AK
10735,"Bartlett Cove, AK: Bartlett Cove Seaplane Base",AK
10754,"Barrow, AK: Wiley Post/Will Rogers Memorial",AK
10769,"Boswell Bay, AK: Boswell Bay Airport",AK
10770,"Bartletts, AK: Bartletts Airport",AK
10775,"Barter Island, AK: Barter Island Airport",AK
10783,"Bettles, AK: Bettles Airport",AK
10809,"Beaver Inlet, AK: Beaver Inlet Seaport",AK
10834,"Boundary, AK: Boundary Airport",AK
10886,"Corner Bay, AK: Corner Bay Airport",AK
10917,"Cold Bay, AK: Cold Bay Airport",AK
10923,"Candle, AK: Candle 2",AK
10926,"Cordova, AK: Merle K Mudhole Smith",AK
10938,"Central, AK: Central Airport",AK
10948,"Chena Hot Springs, AK: Chena Hot Springs Airport",AK
10951,"Coffee Point, AK: Coffee Point Airport",AK
10961,"Craig, AK: Craig Seaplane Base",AK
10991,"Circle Hot Springs, AK: Circle Hot Springs Airport",AK
10996,"Chuathbaluk, AK: Chuathbaluk Airport",AK
11007,"Chalkyitsik, AK: Chalkyitsik Airport",AK
11008,"Council, AK: Council Airport",AK
11014,"Chomley, AK: Chomley Airport",AK
11021,"Crafton Island, AK: Crafton Island Airport",AK
11028,"Crooked Creek, AK: Crooked Creek Airport",AK
11034,"Cordova, AK: Cordova Municipal",AK
11036,"Chicken, AK: Chicken Airport",AK
11043,"Clear, AK: Clear Mews",AK
11053,"Clarks Point, AK: Clarks Point Airport",AK
11154,"Cape Spencer, AK: Cape Spencer C.G. Helipad",AK
11158,"Cape Sabine, AK: Cape Sabine Airport",AK
11188,"Cube Cove, AK: Cube Cove Airport",AK
11213,"Chitina, AK: Chitina Airport",AK
11214,"Coldfoot, AK: Coldfoot Airport",AK
11227,"Chefornak, AK: Chefornak Airport",AK
11230,"Chatham, AK: Chatham Airport",AK
11234,"Cape Yakataga, AK: Yakataga",AK
11238,"Copper Center, AK: Copper Center 2",AK
11241,"Cape Romanzof, AK: Cape Romanzof LRRS",AK
11245,"Chisana, AK: Chisana Airport",AK
11246,"Chistochina, AK: Chistochina Airport",AK
11247,"Cape Pole, AK: Cape Pole Airport",AK
11280,"Dahl Creek, AK: Dahl Creek Airport",AK
11299,"Danger Bay, AK: Danger Bay Airport",AK
11317,"Diomede Island, AK: Diomede Heliport",AK
11327,"Delta Junction, AK: Delta Junction Airport",AK
11336,"Dillingham, AK: Dillingham Airport",AK
11341,"Dolomi, AK: Dolomi Airport",AK
11353,"Duncan Canal, AK: Duncan Canal Airport",AK
11367,"Dora Bay, AK: Dora Bay Airport",AK
11381,"Deadhorse, AK: Badami",AK
11388,"Alpine, AK: Alpine Airstrip",AK
11392,"Anchorage, AK: Lake Hood",AK
11401,"Ketchikan, AK: Neets Bay",AK
11402,"Haines, AK: Glacier Point",AK
11404,"Tsui River, AK: Tsui River Airport",AK
11406,"Platinum, AK: Platinum Mine",AK
11410,"Drift River, AK: Drift River Airport",AK
11411,"Deering, AK: Deering Airport",AK
11445,"Unalaska, AK: Unalaska Airport",AK
11463,"Eagle, AK: Eagle Airport",AK
11464,"Noatak, AK: Eagle Creek Strip",AK
11484,"Edna Bay, AK: Edna Bay Airport",AK
11487,"Anchorage, AK: Elmendorf AFB",AK
11492,"Eek, AK: Eek Airport",AK
11494,"Eight Fathom Bight, AK: Eight Fathom Bight Airport",AK
11501,"Chenega, AK: Chenega Airport",AK
11511,"Egegik, AK: Egegik Airport",AK
11512,"Cape Newenham, AK: Cape Newenham LRRS",AK
11513,"Eagle Harbor, AK: Eagle Harbor Airport",AK
11517,"Fairbanks, AK: Eielson AFB",AK
11535,"Elim, AK: Elim Airport",AK
11545,"Elfin Cove, AK: Elfin Cove Seaplane Base",AK
11546,"Ellamar, AK: Ellamar Seaplane Base",AK
11550,"Emmonak, AK: Emmonak Airport",AK
11555,"Kenai, AK: Kenai Municipal",AK
11559,"Nenana, AK: Nenana Municipal",AK
11606,"Eva Creek, AK: Eva Creek Airport",AK
11619,"Excursion Inlet, AK: Excursion Inlet Seaplane Base",AK
11630,"Fairbanks, AK: Fairbanks International",AK
11632,"False Island, AK: False Island Airport",AK
11639,"Fairmount Island, AK: Fairmount Island Airport",AK
11643,"Fairbanks, AK: Ladd AAF",AK
11674,"Fire Cove, AK: Fire Cove Airport",AK
11696,"Falls Bay, AK: Falls Bay Airport",AK
11702,"Flat, AK: Flat Airport",AK
11708,"Five Mile Camp, AK: Five Mile Camp Airport",AK
11720,"Funter Bay Alaska, AK: Funter Bay",AK
11734,"Patching Lake, AK: Patching Lake Airport",AK
11736,"Kodiak, AK: Lilly Lake",AK
11737,"Katmai National Park, AK: Trident Volcano",AK
11738,"Annex Creek, AK: Annex Creek Airport",AK
11739,"Davidson Creek, AK: Davidson Creek Airport",AK
11740,"Snettisham, AK: Snettisham Airport",AK
11741,"Fire Island, AK: Fire Island Airport",AK
11743,"Greens Creek, AK: Greens Creek Airport",AK
11744,"Gull Cove, AK: Gull Cove Airport",AK
11747,"Karta Lake, AK: Karta Lake Airport",AK
11748,"Manzanita Lake, AK: Manzanita Lake Airport",AK
11749,"Shrimp Bay, AK: Shrimp Bay Airport",AK
11750,"Dry Bay, AK: Dry Bay Airport",AK
11751,"Josephine Lake, AK: Josephine Lake Airport",AK
11755,"Volcano Bay, AK: Volcano Bay Airport",AK
11756,"Fort Glenn, AK: Fort Glenn Airport",AK
11757,"Babe Islands, AK: Babe Islands Airport",AK
11758,"Kahli Cove, AK: Kahli Cove Airport",AK
11768,"Fresh Water Bay, AK: Fresh Water Bay Airport",AK
11786,"Fortuna Ledge, AK: Fortuna Ledge Airport",AK
11797,"Osprey Lodge, AK: Osprey Lodge Airport",AK
11813,"Donlin Creek Mine, AK: Donlin Creek Mine Airport",AK
11819,"Golden Creek Mine, AK: Golden Creek Mine Airport",AK
11820,"Grace Harbor, AK: Grace Harbor Airport",AK
11821,"Unuk River, AK: Unuk River Airport",AK
11822,"Deadhorse, AK: Inigok",AK
11825,"Farewell, AK: Farewell Airport",AK
11828,"Kaktovik, AK: Bullen Point AFS",AK
11833,"Fort Yukon, AK: Fort Yukon Airport",AK
11844,"Galena, AK: Edward G. Pitka Sr.",AK
11845,"Gambell, AK: Gambell Airport",AK
11855,"Goose Bay, AK: Goose Bay AAF",AK
11859,"Galbraith Lake, AK: Galbraith Lake Airport",AK
11873,"Golden Horn Lodge, AK: Golden Horn Lodge Seaplane Base",AK
11885,"Ganes Creek, AK: Ganes Creek Airport",AK
11896,"Togiak Fish, AK: Togiak Fish Airport",AK
11924,"Gulkana, AK: Gulkana Airport",AK
11937,"Glennallen, AK: Glennallen Airport",AK
11941,"Golovin, AK: Golovin Airport",AK
11946,"Granite Mountain, AK: Granite Mountain AS",AK
11952,"Goodnews Bay, AK: Goodnews",AK
11997,"Gustavus, AK: Gustavus Airport",AK
12074,"Haycock, AK: Haycock Airport",AK
12076,"Hanus Bay, AK: Hanus Bay Airport",AK
12079,"Hobart Bay, AK: Hobart Bay Airport",AK
